,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
006,-2.0,-2.25,-5.5,-7.5,-5.0,-3.0,-4.75,-6.5,-6.25,-9.25
007,-3.75,-2.0,-8.5,-3.0,-9.25,-7.0,-6.75,-6.75,-8.25,-9.75
008,-2.0,-3.0,-7.25,-8.0,-8.25,-6.0,-6.25,-9.0,-9.0,-9.75
009,-1.5,-1.75,-4.75,-5.75,-5.0,-3.25,-3.5,-6.25,-7.0,-8.75
010,-1.25,-2.75,-6.5,-7.25,-6.75,-5.75,-4.75,-7.0,-6.25,-9.75
011,0.0,-5.0,-8.0,-8.5,-7.75,-8.0,-4.75,-9.0,-9.5,-10.75
012,-1.0,-1.0,-6.0,-7.5,-4.75,-4.0,-4.5,-8.0,-5.75,-9.0
013,-0.5,-1.75,-6.25,-6.75,-5.5,-4.75,-4.75,-8.0,-8.5,-9.25
014,-0.75,-1.5,-5.0,-6.5,-5.75,-3.5,-2.5,-8.25,-6.25,-8.25
015,-0.5,-2.0,-6.0,-6.25,-5.0,-3.25,-2.75,-6.5,-7.0,-8.25
016,-0.5,-3.0,-6.25,-8.5,-4.25,-3.75,-2.5,-7.0,-5.25,-8.0
017,-1.25,-2.25,-5.75,-5.75,-5.25,-4.75,-1.75,-7.0,-7.25,-9.5
018,-0.5,-3.0,-6.5,-7.5,-5.5,-4.75,-3.75,-7.0,-6.75,-8.25
019,-1.0,-3.25,-4.25,-6.5,-3.5,-3.5,-1.25,-6.5,-5.0,-9.0
020,-0.5,-2.75,-6.0,-6.75,-5.25,-4.75,-3.25,-7.0,-6.5,-9.25
021,-0.75,-1.25,-4.5,-7.25,-3.0,-3.25,-3.25,-7.25,-5.0,-8.0
022,-1.0,-2.0,-5.5,-8.0,-2.75,-3.5,-3.25,-7.25,-5.0,-8.5
023,-0.75,-1.5,-5.0,-6.75,-3.25,-4.0,-3.25,-6.5,-5.25,-8.0
024,-1.25,-1.0,-4.75,-6.0,-4.0,-3.0,-2.5,-7.5,-4.25,-7.5
025,-1.25,-1.0,-5.0,-7.0,-4.25,-3.0,-2.5,-6.5,-4.75,-7.75
026,-1.0,-1.5,-5.25,-7.75,-3.25,-3.5,-2.5,-6.75,-4.25,-7.5
027,-1.5,-1.0,-6.0,-6.25,-5.0,-3.75,-2.5,-7.0,-5.75,-8.0
028,-1.25,-2.5,-6.25,-7.75,-5.75,-5.0,-4.5,-8.5,-6.5,-8.0
029,-0.75,-3.5,-4.0,-6.25,-3.5,-2.5,-1.75,-7.0,-4.25,-7.75
030,-0.5,-3.0,-5.5,-6.75,-6.0,-4.5,-3.0,-7.0,-6.25,-8.25
031,-0.5,-1.75,-5.25,-6.75,-5.5,-3.5,-3.25,-7.25,-6.0,-8.0
032,-1.25,-1.25,-4.75,-6.25,-3.75,-3.0,-3.0,-7.5,-4.5,-7.0
033,-1.0,-2.0,-5.0,-6.25,-4.5,-3.75,-2.75,-7.25,-6.25,-8.25
034,-1.0,-1.25,-4.75,-6.75,-5.0,-3.0,-2.75,-7.5,-5.75,-7.5
035,-0.5,-1.75,-5.5,-6.75,-6.0,-4.0,-2.75,-7.0,-6.5,-7.75
036,-0.75,-1.75,-5.25,-8.0,-5.0,-3.0,-3.0,-6.75,-5.25,-7.75
037,-1.25,-1.5,-4.75,-5.75,-5.0,-3.75,-1.75,-6.75,-6.0,-7.75
038,-0.5,-2.25,-6.0,-7.5,-6.0,-4.75,-4.0,-7.75,-6.0,-8.25
039,-0.5,-2.5,-5.25,-6.75,-5.75,-4.0,-2.5,-7.25,-6.5,-8.25
040,-0.5,-2.0,-5.75,-6.5,-7.0,-4.5,-2.5,-8.0,-5.5,-8.0
041,-0.75,-1.75,-5.25,-7.25,-6.0,-3.25,-2.5,-8.5,-5.5,-8.25
042,-0.75,-1.25,-6.0,-9.25,-6.0,-4.25,-3.5,-7.0,-5.75,-9.0
